# Popular given names and their frequencies of Korean people
# retrieved November 28 2023
# from https://koreanname.me/
# original data from https://efamily.scourt.go.kr/
# filtered, [COUNT] >= 100
#
# data format:  [GIVEN NAME],[COUNT],[SEX]
#
# Each line shows [COUNT] [SEX] babies were born in Korea
#   from 2008 to 2023 who have given name of [GIVEN NAME].
#
# This collection does not reflect actual statistics of all Korean people.
# This is biased information to that age group.
#
#   sum of female babies = 2,891,427
#   sum of male babies = 2,971,409
#   sex ratio of male/female = 1.028
#

아율,2249,female
효민,2236,female
아림,2189,female
가희,2183,female
은하,2163,female
규빈,2132,female
주영,2131,female
지예,2131,female
하임,2098,female
시원,2092,female
지희,2080,female
수영,2070,female
희주,2060,female
시율,2058,female
효빈,2044,female
서이,2042,female
가율,2041,female
해린,2035,female
려원,2029,female
해솔,2014,female
다민,1985,female
재아,1973,female
소유,1967,female
하정,1961,female
윤솔,1956,female
혜주,1950,female
승희,1927,female
은진,1926,female
은아,1924,female
시영,1920,female
선아,1907,female
윤희,1885,female
하루,1881,female
나희,1875,female
하경,1866,female
규린,1848,female
예온,1839,female
효정,1830,female
지오,1824,female
시하,1823,female
우리,1814,female
희진,1792,female
효진,1768,female
별하,1766,female
윤정,1764,female
성은,1760,female
정인,1757,female
선유,1742,female
승현,1742,female
인서,1736,female
혜나,1698,female
영은,1692,female
리하,1683,female
라율,1675,female
송현,1673,female
은영,1662,female
로하,1659,female
아정,1655,female
보영,1655,female
우주,1644,female
영서,1635,female
규림,1632,female
예리,1619,female
루리,1616,female
세현,1610,female
아란,1609,female
하늬,1609,female
라은,1596,female
도윤,1594,female
이수,1581,female
다미,1581,female
민희,1577,female
민선,1567,female
담희,1556,female
시안,1544,female
다솔,1523,female
승주,1516,female
선율,1506,female
수린,1488,female
가원,1486,female
효림,1485,female
로희,1478,female
루나,1467,female
선영,1448,female
린,1434,female
해원,1432,female
희서,1432,female
도영,1429,female
은,1404,female
유미,1398,female
정아,1394,female
도이,1393,female
이진,1392,female
유현,1389,female
희수,1382,female
희연,1378,female
아리,1376,female
빛나,1370,female
다해,1369,female
하이,1369,female
루다,1361,female
서안,1361,female
유담,1357,female
여름,1355,female
인아,1353,female
아람,1337,female
한비,1331,female
예람,1331,female
지나,1321,female
소예,1315,female
이레,1313,female
은정,1309,female
서경,1307,female
하라,1305,female
하원,1304,female
송연,1295,female
혜연,1292,female
예랑,1285,female
여은,1282,female
수안,1274,female
세령,1273,female
은주,1260,female
윤설,1251,female
초아,1248,female
진,1247,female
로은,1243,female
윤영,1237,female
채하,1231,female
나예,1231,female
예령,1216,female
해윤,1216,female
예윤,1211,female
세진,1201,female
제니,1186,female
다겸,1184,female
수하,1183,female
민,1181,female
누리,1179,female
하선,1162,female
예영,1160,female
경민,1160,female
혜정,1152,female
나원,1151,female
진희,1123,female
진주,1120,female
여울,1106,female
세나,1104,female
해리,1100,female
서유,1094,female
태경,1094,female
수경,1093,female
세하,1090,female
태인,1089,female
민진,1074,female
슬,1060,female
인영,1056,female
보현,1054,female
세라,1039,female
성연,1037,female
예현,1035,female
정빈,1029,female
안나,1028,female
이담,1025,female
승은,1020,female
율아,1014,female
경은,1005,female
가민,1005,female
연진,1001,female
설하,1000,female
한솔,998,female
나래,994,female
나라,992,female
아민,992,female
시유,991,female
아랑,991,female
현,989,female
규원,977,female
희정,977,female
예봄,973,female
희윤,964,female
이은,963,female
다나,957,female
미나,947,female
규민,926,female
민설,919,female
조이,914,female
로운,907,female
재연,906,female
세윤,901,female
린아,899,female
채령,898,female
혜은,888,female
제나,888,female
주이,881,female
태림,880,female
지선,879,female
혜영,863,female
이엘,862,female
주혜,860,female
재윤,857,female
에스더,850,female
로이,847,female
사라,838,female
리우,837,female
연후,835,female
초은,832,female
슬기,831,female
보윤,831,female
세이,829,female
기쁨,822,female
샛별,820,female
송이,820,female
보라,816,female
성아,814,female
라원,814,female
보람,813,female
혜령,813,female
채안,809,female
유희,805,female
진영,802,female
세림,794,female
미주,791,female
서온,791,female
도하,786,female
채림,781,female
시언,773,female
설희,772,female
승하,768,female
은송,767,female
유솔,764,female
도현,762,female
지애,762,female
윤경,761,female
소망,757,female
이랑,756,female
해온,750,female
예하,748,female
주빈,739,female
민재,725,female
현경,723,female
율희,719,female
영주,718,female
보빈,718,female
소진,717,female
가령,715,female
예안,714,female
효인,713,female
고운,713,female
서후,712,female
도담,712,female
유아,712,female
나혜,710,female
한결,708,female
율리,708,female
라현,706,female
예승,701,female
은결,696,female
혜지,694,female
세민,694,female
민유,693,female
율하,690,female
하림,689,female
연두,688,female
은호,688,female
예음,686,female
루하,686,female
나온,680,female
호연,679,female
이설,670,female
이솜,667,female
태영,665,female
시호,662,female
솜,656,female
은경,654,female
은희,651,female
선민,650,female
나엘,649,female
세정,648,female
보연,647,female
규연,642,female
보아,638,female
연정,636,female
제아,632,female
선하,629,female
지언,620,female
보은,619,female
예율,615,female
희선,615,female
새별,612,female
나림,611,female
송희,610,female
은교,606,female
리온,606,female
재원,605,female
아은,604,female
다엘,604,female
소빈,601,female
주윤,600,female
영채,597,female
효리,593,female
나겸,592,female
하현,592,female
레아,592,female
희은,592,female
리윤,590,female
미래,587,female
예설,586,female
세경,586,female
주안,585,female
지빈,582,female
승민,580,female
이든,579,female
우림,577,female
현희,576,female
재영,576,female
민교,571,female
새론,571,female
재경,570,female
채리,565,female
소을,564,female
세온,563,female
담이,563,female
강희,561,female
수희,559,female
희,558,female
세원,553,female
루비,552,female
혜율,550,female
희재,549,female
희영,548,female
주미,546,female
선주,543,female
하령,543,female
소울,543,female
한서,542,female
선,540,female
채경,540,female
윤이,539,female
단,535,female
승혜,534,female
서주,534,female
민혜,534,female
연경,531,female
민송,530,female
윤선,530,female
경빈,529,female
도원,529,female
이정,528,female
은선,528,female
혜선,527,female
인혜,526,female
미진,524,female
유선,523,female
나리,523,female
세미,523,female
수미,522,female
예성,521,female
성현,520,female
근영,518,female
태윤,516,female
연,515,female
애린,513,female
보나,510,female
윤우,509,female
려은,507,female
샤론,507,female
호정,507,female
지이,505,female
현영,503,female
해민,502,female
보배,501,female
채유,500,female
유연,499,female
윤빈,498,female
다애,497,female
경원,495,female
성희,493,female
선미,492,female
루미,490,female
엘리,488,female
혜수,487,female
담,487,female
하솜,486,female
리예,483,female
루희,482,female
민소,482,female
지음,482,female
지서,481,female
세리,480,female
선혜,480,female
예소,479,female
혜성,478,female
예희,478,female
슬비,474,female
선빈,474,female
준서,473,female
미정,472,female
혜미,470,female
예솜,464,female
정음,462,female
단희,461,female
선희,461,female
리현,460,female
연화,460,female
솔희,454,female
아빈,454,female
초원,454,female
이슬,453,female
진솔,452,female
정희,452,female
유영,451,female
정안,450,female
수윤,447,female
가림,446,female
혜서,444,female
서령,444,female
규나,444,female
그린,443,female
정하,442,female
하니,442,female
솔비,438,female
설현,437,female
솔빈,435,female
연하,435,female
유린,433,female
어진,432,female
건희,432,female
결,431,female
유지,431,female
진하,429,female
소리,429,female
규은,428,female
초희,428,female
봄이,427,female
시후,427,female
효연,427,female
푸름,426,female
한슬,426,female
윤비,426,female
은세,424,female
신비,424,female
하얀,423,female
이지,423,female
조은,422,female
래아,420,female
원,419,female
영인,417,female
금비,414,female
효서,413,female
하담,413,female
혜승,412,female
솔민,411,female
다운,410,female
리사,410,female
빈,409,female
해빈,408,female
바다,407,female
단하,406,female
주리,406,female
정서,404,female
효경,403,female
찬희,402,female
은후,402,female
이재,399,female
채인,395,female
우정,395,female
서형,395,female
하솔,394,female
신영,393,female
소라,390,female
해림,390,female
소혜,389,female
환희,389,female
아원,389,female
해진,389,female
현채,388,female
해주,387,female
수림,386,female
라연,385,female
미경,385,female
원희,385,female
의진,384,female
나나,383,female
이음,380,female
경서,378,female
예준,375,female
우진,375,female
송하,374,female
효재,373,female
혜경,372,female
승미,371,female
선경,371,female
은미,371,female
다슬,370,female
한빛,369,female
지솔,368,female
유원,368,female
은효,367,female
상아,367,female
다흰,365,female
가경,365,female
서림,365,female
승유,364,female
선화,363,female
유비,363,female
해담,362,female
주예,361,female
신혜,361,female
초이,360,female
희우,360,female
레나,359,female
화영,358,female
채언,356,female
여정,356,female
윤성,356,female
단우,355,female
솔아,355,female
진경,354,female
이주,354,female
현이,353,female
다올,352,female
은조,351,female
희경,350,female
연제,349,female
이린,348,female
수예,348,female
예선,347,female
리유,347,female
가린,346,female
상은,346,female
은민,344,female
승빈,344,female
지운,343,female
은총,342,female
